日期,開市,最高,最低,關閉 ,調整後的收市價 ,成交量
2025/8/8,23518.2,23767.8,23503,23713.75,23713.75,447831
2025/8/7,23418.5,23671,23329,23496.25,23496.25,561716
2025/8/6,23091.75,23445.25,23045.5,23422.75,23422.75,527514
2025/8/5,23354,23404.25,23084.5,23132,23132,542676
2025/8/4,22850,23352.5,22821.75,23296.5,23296.5,472671
2025/8/1,23308.5,23347.5,22775,22883.75,22883.75,803558
2025/7/31,23705,23845,23290.5,23365,23365,739642
2025/7/30,23452,23689,23356.5,23480.5,23480.5,538732
2025/7/29,23504.25,23652.5,23421.25,23452,23452,538169
2025/7/28,23520,23585.25,23436.75,23491.25,23491.25,424393
2025/7/25,23391.5,23476,23330.75,23421.25,23421.25,395469
2025/7/24,23402.25,23424.5,23298.25,23377.5,23377.5,435559
2025/7/23,23191.25,23418,23146.75,23310.75,23310.75,512963
2025/7/22,23339.5,23367,23108,23226.25,23226.25,537829
2025/7/21,23232.5,23424.75,23203.75,23342,23342,398833
2025/7/18,23261.25,23320.75,23169.5,23224.25,23224.25,450704
2025/7/17,23065.5,23279.75,23017,23251,23251,445290
2025/7/16,23018.75,23100,22835.5,23076.5,23076.5,548602
2025/7/15,23034.25,23222.75,22996,23056.75,23056.75,524056
2025/7/14,22860.75,23066.5,22803,23035.5,23035.5,414465
2025/7/11,23011.75,23048.75,22831.5,22959,22959,461057
2025/7/10,23041,23090,22901.25,23013.25,23013.25,391782
2025/7/9,22906.5,23112,22843.5,23052.75,23052.75,450523
2025/7/8,22837.75,22972.75,22808.5,22896.75,22896.75,420913
2025/7/7,22970,23028.5,22779.75,22884.75,22884.75,537930
2025/7/4,23059.25,23062.5,22882,22906.75,22906.75,-
2025/7/3,22845,23102.5,22827,23062.5,23062.5,-
2025/7/2,22694.5,22858.75,22582,22843,22843,408882
2025/7/1,22867.5,22914.75,22594.5,22692.75,22692.75,495079
2025/6/30,22751.5,22934.75,22751.5,22893.25,22893.25,434250
2025/6/27,22676.25,22825.5,22600,22751.5,22751.5,487835
2025/6/26,22461.25,22694,22437.75,22669.25,22669.25,422397
2025/6/25,22412,22548.25,22384.5,22461,22461,397611
2025/6/24,22079,22448.25,22065.75,22412.75,22412.75,447975
2025/6/23,21648.25,22093,21566.75,22073.5,22073.5,549766
2025/6/20,21731,21896.5,21435.5,21889.89,21889.89,649884
2025/6/18,21705,21872.5,21640.5,21720.25,21720.25,-
2025/6/17,21950,21952,21685,21730.5,21730.5,173026
2025/6/16,21554,21999.5,21501.75,21941.5,21941.5,336301
2025/6/13,21909,21915.75,21471,21644.25,21644.25,556189
2025/6/12,21871,21977.25,21713.25,21932.5,21932.5,397839
2025/6/11,21945.75,22106,21790.75,21887.5,21887.5,523556
2025/6/10,21824,21992.25,21732,21962.5,21962.5,439539
2025/6/9,21799.25,21890.75,21716,21821.5,21821.5,354827
2025/6/6,21471,21873.5,21471,21789.5,21789.5,466591
2025/6/5,21744.75,21935,21503.5,21582.25,21582.25,-
2025/6/4,21688.25,21803,21641,21766.5,21766.5,403012
2025/6/3,21555,21759.75,21399.25,21706,21706,427859
2025/6/2,21303.75,21576.25,21163,21534.5,21534.5,434593
2025/5/30,21371.25,21433.5,21071.5,21376.75,21376.75,551092
2025/5/29,21513,21858.75,21301,21408.5,21408.5,563888
2025/5/28,21480,21567.5,21321.25,21379.75,21379.75,421653
2025/5/27,20978,21488.5,20954.25,21460.5,21460.5,531358
2025/5/23,21223.75,21236,20727,20975,20975,528055
2025/5/22,21145,21337.5,21040,21178.25,21178.25,512634
2025/5/21,21414.75,21558.5,21072.75,21156.75,21156.75,605668
2025/5/20,21513,21562.25,21298,21447.25,21447.25,437865
2025/5/19,21310.75,21544.5,21112.5,21527,21527,520282
2025/5/16,21396,21512,21320.25,21506,21506,419242
2025/5/15,21379.75,21529.75,21192,21400.25,21400.25,542990
2025/5/14,21250,21419.5,21238.25,21392.5,21392.5,513593
2025/5/13,20954.75,21346.5,20818,21278,21278,526706
2025/5/12,20398.5,20996,20376.75,20948.75,20948.75,638564
2025/5/9,20157,20288.75,20058,20136.75,20136.75,453686
2025/5/8,19934.5,20337.25,19910.75,20148,20148,567597
2025/5/7,19809,20133.75,19678.75,19961,19961,597360
2025/5/6,20014.25,20036.75,19739,19876.5,19876.5,514526
2025/5/5,20181.5,20201.75,19966,20055.5,20055.5,418875
2025/5/2,19782.5,20276.75,19749.5,20195.25,20195.25,517806
2025/5/1,19834,20125.75,19757.25,19870.75,19870.75,588901
2025/4/30,19599.75,19880,19103.75,19658.5,19658.5,713642
2025/4/29,19478.25,19688.5,19378,19642,19642,565539
2025/4/28,19524.5,19623,19257.25,19528,19528,514474
2025/4/25,19405,19589,19216.25,19535.25,19535.25,587589
2025/4/24,18826.5,19418,18594.75,19322,19322,599457
2025/4/23,18646,19165.5,18623.75,18804,18804,733977
2025/4/22,17914,18514,17863.75,18385,18385,619146
2025/4/21,18306.25,18383.5,17700,17922.25,17922.25,484750
2025/4/17,18391.25,18652.75,18261.5,18380.75,18380.75,629368
2025/4/16,18790,18861.25,18116.25,18385.25,18385.25,683175
2025/4/15,18902.5,19144.75,18809,18960.25,18960.25,525790
2025/4/14,19225,19256,18737.5,18934.75,18934.75,570510
2025/4/11,18464.75,18873.5,18067,18807.5,18807.5,667630
2025/4/10,19266.75,19383.5,17919,18484.5,18484.5,975104
2025/4/9,17220.25,19386.75,16735,19288.75,19288.75,1086917
2025/4/8,17665,18357.25,16973.5,17243.75,17243.75,956641
2025/4/7,17100,18361.5,16460,17563.25,17563.25,1140389
2025/4/4,18660,18713,17387.5,17539,17539,1199851
2025/4/3,19020,19177,18614,18675.5,18675.5,893793
2025/4/2,19600.5,20044.25,19076.75,19758,19758,835319
2025/4/1,19411.25,19644,19261.25,19604.5,19604.5,790964
2025/3/31,19319.75,19489.75,18976.75,19439.5,19439.5,842547
2025/3/28,19995.25,20011.75,19357.5,19457,19457,696397
2025/3/27,20046,20199.5,19937.25,19990.25,19990.25,634738
