Date,Open,High,Low,Close,Adj Close,Volume,10MA,20MA,50MA,200MA,BB(Up),BB(Mid),BB(Down),RSI(9),RSI (14),"MACD(12,26,9) (MACD Line)","MACD(12,26,9) (Signal Line)","MACD(12,26,9) (Histogram)",ATR
2025-01-02,21269.0,21490.5,20983.75,21167.5,21167.5,664742,21457.8,21574.95,21078.06,19647.84,22243.72,21574.95,20906.18,41.87,46.37,96.61,176.03,-79.42,389.19
2025-01-03,21186.75,21559.25,21144.0,21516.5,21516.5,488243,21487.57,21573.95,21097.55,19664.08,22243.02,21573.95,20904.88,51.05,52.15,91.98,159.22,-67.24,391.05
2025-01-06,21532.25,21896.75,21478.25,21744.5,21744.5,574300,21550.75,21587.51,21128.03,19680.4,22258.98,21587.51,20916.04,56.15,55.52,105.49,148.47,-42.98,393.01
2025-01-07,21781.25,21806.0,21279.5,21359.75,21359.75,645144,21591.92,21572.66,21147.62,19694.39,22250.79,21572.66,20894.54,46.89,49.22,84.18,135.62,-51.43,402.55
2025-01-08,21380.75,21448.25,21166.25,21360.75,21360.75,637114,21552.68,21566.51,21164.86,19708.32,22250.24,21566.51,20882.78,46.91,49.24,66.61,121.82,-55.2,393.93
2025-01-09,21334.75,21347.25,21218.0,21301.5,21301.5,77170,21479.98,21561.32,21180.95,19722.26,22251.75,21561.32,20870.9,45.45,48.26,47.36,106.92,-59.57,375.99
2025-01-10,21302.75,21372.5,20874.75,21016.0,21016.0,703964,21380.78,21522.45,21187.34,19735.1,22244.65,21522.45,20800.25,38.89,43.75,8.96,87.33,-78.37,384.69
2025-01-13,21027.5,21037.0,20694.0,20947.25,20947.25,617059,21305.65,21487.25,21195.59,19747.31,22250.48,21487.25,20724.02,37.42,42.71,-26.72,64.52,-91.24,381.71
2025-01-14,21020.0,21143.75,20773.5,20919.5,20919.5,676188,21255.98,21443.44,21213.54,19759.54,22232.27,21443.44,20654.6,36.79,42.28,-56.57,40.3,-96.88,380.89
2025-01-15,20977.0,21452.75,20909.0,21400.25,21400.25,551806,21273.35,21407.94,21238.48,19774.05,22131.64,21407.94,20684.24,52.39,51.49,-40.97,24.05,-65.02,392.53
2025-01-16,21389.0,21567.25,21172.25,21249.75,21249.75,598631,21281.58,21369.69,21261.76,19788.65,22037.01,21369.69,20702.36,48.2,48.86,-40.28,11.18,-51.47,392.7
2025-01-17,21227.5,21682.5,21209.25,21594.75,21594.75,594110,21289.4,21388.49,21286.82,19804.76,22059.09,21388.49,20717.88,57.06,54.59,-11.77,6.59,-18.36,398.46
2025-01-21,21600.0,21783.5,21377.75,21709.5,21709.5,662316,21285.9,21418.32,21303.13,19822.92,22090.37,21418.32,20746.28,59.64,56.34,19.86,9.25,10.62,398.98
2025-01-22,21809.25,22093.5,21768.25,22000.5,22000.5,508606,21349.98,21470.95,21318.64,19841.42,22152.69,21470.95,20789.21,65.55,60.5,67.63,20.92,46.71,397.91
2025-01-23,21981.75,22050.5,21855.5,22038.25,22038.25,476286,21417.72,21485.2,21334.78,19860.14,22202.76,21485.2,20767.64,66.27,61.02,107.3,38.2,69.1,383.41
2025-01-24,22018.5,22078.25,21844.0,21911.25,21911.25,522901,21478.7,21479.34,21348.65,19877.89,22179.92,21479.34,20778.76,61.41,58.24,127.02,55.96,71.06,372.76
2025-01-27,21771.0,21771.0,20763.75,21258.5,21258.5,1056136,21502.95,21441.86,21350.03,19893.2,22102.41,21441.86,20781.31,43.12,46.54,88.96,62.56,26.4,428.1
2025-01-28,21343.25,21626.0,21159.5,21581.75,21581.75,663336,21566.4,21436.02,21358.48,19908.69,22089.05,21436.02,20783.0,51.21,51.72,83.91,66.83,17.08,430.84
2025-01-29,21559.0,21697.0,21367.0,21523.25,21523.25,629631,21626.78,21441.38,21368.71,19925.41,22095.47,21441.38,20787.28,49.77,50.76,74.33,68.33,6.0,423.64
2025-01-30,21547.75,21748.75,21419.5,21624.75,21624.75,618073,21649.22,21461.29,21391.33,19944.15,22112.08,21461.29,20810.5,52.39,52.41,74.07,69.48,4.59,416.9
2025-01-31,21680.0,21966.0,21533.75,21589.25,21589.25,655811,21683.18,21482.38,21410.44,19962.69,22120.29,21482.38,20844.46,51.33,51.75,70.19,69.62,0.57,417.99
2025-02-03,21200.0,21579.75,20943.0,21405.0,21405.0,728140,21664.2,21476.8,21423.19,19981.42,22115.41,21476.8,20838.19,45.94,48.39,51.66,66.03,-14.37,434.3
2025-02-04,21592.0,21694.0,21242.5,21670.25,21670.25,497143,21660.28,21473.09,21441.61,20002.04,22105.98,21473.09,20840.2,53.8,53.11,57.71,64.37,-6.66,435.53
2025-02-05,21562.0,21795.0,21429.75,21763.0,21763.0,497655,21636.52,21493.25,21460.28,20024.95,22136.55,21493.25,20849.95,56.3,54.68,69.19,65.33,3.86,430.51
2025-02-06,21764.5,21882.25,21705.75,21871.75,21871.75,438729,21619.88,21518.8,21480.72,20047.56,22180.27,21518.8,20857.33,59.21,56.51,86.07,69.48,16.59,412.36
2025-02-07,21817.75,21968.0,21552.75,21590.75,21590.75,598869,21587.82,21533.26,21494.93,20067.48,22187.34,21533.26,20879.19,49.61,50.8,75.9,70.76,5.14,412.57
2025-02-10,21463.25,21894.0,21418.0,21846.5,21846.5,391625,21646.62,21574.79,21511.99,20088.39,22195.17,21574.79,20954.4,56.78,55.23,87.47,74.1,13.36,417.1
2025-02-11,21832.0,21871.5,21669.5,21786.75,21786.75,423200,21667.12,21616.76,21531.47,20109.48,22168.14,21616.76,21065.39,54.73,54.01,90.77,77.44,13.33,401.74
2025-02-12,21794.25,21862.5,21510.75,21804.75,21804.75,545408,21695.28,21661.02,21547.69,20129.28,22109.19,21661.02,21212.86,55.28,54.34,93.76,80.7,13.06,398.17
2025-02-13,21861.25,22124.0,21753.0,22113.25,22113.25,536739,21744.12,21696.68,21565.6,20150.32,22170.21,21696.68,21223.14,63.73,59.65,119.64,88.49,31.15,396.22
2025-02-14,22071.0,22225.0,22042.5,22196.25,22196.25,433212,21804.82,21744.0,21583.89,20173.45,22218.66,21744.0,21269.34,65.69,60.97,145.17,99.82,45.35,380.96
2025-02-18,22235.75,22319.75,22102.75,22232.25,22232.25,567203,21887.55,21775.88,21597.81,20197.42,22292.13,21775.88,21259.62,66.57,61.55,166.4,113.14,53.26,369.25
2025-02-19,22224.5,22299.75,22118.0,22250.5,22250.5,496442,21945.58,21802.92,21613.35,20220.42,22359.64,21802.92,21246.21,67.06,61.87,182.58,127.03,55.56,355.85
2025-02-20,22213.0,22235.5,21951.0,22141.75,22141.75,563585,21983.45,21809.99,21623.05,20241.13,22380.67,21809.99,21239.31,61.13,58.8,184.51,138.52,45.99,351.83
2025-02-21,22136.0,22245.5,21652.75,21679.25,21679.25,708349,21964.2,21792.04,21626.96,20258.54,22355.02,21792.04,21229.05,42.97,47.92,147.02,140.22,6.8,369.04
2025-02-24,21700.75,21813.0,21407.5,21420.25,21420.25,670634,21947.15,21767.49,21627.26,20274.65,22351.03,21767.49,21183.95,36.2,43.11,95.32,131.24,-35.93,371.64
2025-02-25,21442.5,21453.75,20990.0,21149.0,21149.0,805678,21877.4,21762.01,21614.37,20289.46,22367.31,21762.01,21156.72,30.53,38.72,32.08,111.41,-79.33,378.22
2025-02-26,21230.5,21409.25,21055.0,21187.0,21187.0,646236,21817.42,21742.28,21605.09,20304.32,22396.12,21742.28,21088.43,32.2,39.65,-14.8,86.17,-100.97,376.51
2025-02-27,21249.0,21386.5,20583.25,20605.75,20605.75,854180,21697.52,21696.4,21581.29,20316.08,22521.32,21696.4,20871.48,22.76,31.74,-97.72,49.39,-147.11,406.99
2025-02-28,20649.5,20944.25,20460.5,20919.5,20919.5,845890,21578.15,21661.14,21557.47,20329.2,22556.26,21661.14,20766.02,34.43,38.83,-136.55,12.2,-148.75,412.47
2025-03-03,21005.25,21121.0,20316.75,20468.25,20468.25,833041,21405.35,21605.09,21526.54,20339.46,22647.44,21605.09,20562.74,27.67,33.45,-201.41,-30.52,-170.89,440.46
2025-03-04,20527.0,20732.5,20075.25,20399.0,20399.0,958071,21222.02,21554.79,21510.15,20348.0,22726.82,21554.79,20382.76,26.76,32.7,-255.46,-75.51,-179.95,455.94
2025-03-05,20555.0,20725.0,20215.0,20665.0,20665.0,783638,21063.48,21504.52,21501.19,20358.07,22740.2,21504.52,20268.85,35.85,38.41,-273.68,-115.14,-158.53,459.8
2025-03-06,20605.25,20647.5,20003.0,20089.25,20089.25,763150,20858.22,21420.84,21484.02,20365.34,22801.06,21420.84,20040.61,27.53,32.07,-330.76,-158.27,-172.49,474.25
2025-03-07,20214.5,20286.25,19765.5,20229.75,20229.75,763257,20713.28,21338.74,21453.55,20372.68,22799.05,21338.74,19878.43,31.87,34.89,-360.5,-198.71,-161.79,477.57
2025-03-10,20147.0,20156.5,19272.25,19452.75,19452.75,798366,20516.53,21231.84,21402.04,20375.95,22911.08,21231.84,19552.6,23.22,27.97,-441.68,-247.31,-194.37,511.85
2025-03-11,19440.0,19686.75,19139.25,19399.0,19399.0,857876,20341.53,21109.46,21349.86,20379.01,22949.16,21109.46,19269.77,22.74,27.56,-504.53,-298.75,-205.78,514.4
2025-03-12,19412.75,19788.75,19387.0,19618.5,19618.5,702688,20184.68,21001.05,21308.26,20383.62,22926.25,21001.05,19075.85,29.45,31.92,-530.52,-345.1,-185.41,506.35
2025-03-13,19572.0,19694.0,19170.0,19249.0,19249.0,761160,20049.0,20873.26,21264.91,20385.48,22909.91,20873.26,18836.62,25.29,28.78,-574.31,-390.95,-183.36,507.61
2025-03-14,19312.75,19742.5,19296.75,19712.0,19712.0,742663,19928.25,20753.2,21234.62,20389.34,22765.02,20753.2,18741.38,37.69,37.13,-565.14,-425.78,-139.35,506.6
2025-03-17,19668.25,19959.25,19550.5,19831.75,19831.75,584953,19864.6,20634.97,21207.9,20394.49,22566.02,20634.97,18703.93,40.56,39.12,-541.96,-449.02,-92.94,499.61
2025-03-18,19821.0,19858.0,19397.75,19496.75,19496.75,360195,19774.38,20498.2,21167.51,20398.94,22338.25,20498.2,18658.15,35.42,35.72,-544.35,-468.08,-76.26,496.8
2025-03-19,19496.75,19935.0,19455.5,19746.75,19746.75,210518,19682.55,20373.01,21127.56,20404.72,22044.02,20373.01,18702.01,41.63,39.92,-520.07,-478.48,-41.59,495.57
2025-03-20,19746.75,19898.75,19530.25,19678.5,19678.5,116159,19641.47,20249.85,21093.93,20409.88,21723.39,20249.85,18776.31,40.44,39.16,-500.57,-482.9,-17.67,486.49
2025-03-21,19690.75,19728.75,19408.0,19450.81,19450.81,605235,19563.58,20138.43,21055.73,20413.63,21488.73,20138.43,18788.13,36.51,36.68,-497.75,-485.87,-11.88,474.65
2025-03-24,20050.5,20409.5,20050.5,20374.25,20374.25,555043,19655.73,20086.13,21037.19,20420.13,21301.69,20086.13,18870.57,56.01,50.41,-416.2,-471.94,55.73,509.23
2025-03-25,20353.0,20524.75,20293.0,20488.5,20488.5,470886,19764.68,20053.1,21026.64,20427.27,21179.72,20053.1,18926.49,57.81,51.81,-338.45,-445.24,106.78,489.41
2025-03-26,20511.5,20536.75,20045.0,20116.5,20116.5,620685,19814.48,19999.58,21010.02,20432.66,20993.24,19999.58,19005.92,50.26,47.16,-303.36,-416.86,113.5,489.57
2025-03-27,20046.0,20199.5,19937.25,19990.25,19990.25,634738,19888.61,19968.8,20991.44,20437.06,20920.66,19968.8,19016.95,47.88,45.66,-282.48,-389.99,107.51,473.34
2025-03-28,19995.25,20011.75,19357.5,19457.0,19457.0,696397,19863.11,19895.68,20952.57,20438.14,20760.77,19895.68,19030.59,39.06,39.91,-305.44,-373.08,67.64,486.26
2025-03-31,19319.75,19489.75,18976.75,19439.5,19439.5,842547,19823.88,19844.24,20916.37,20437.85,20688.06,19844.24,19000.42,38.8,39.73,-321.34,-362.73,41.39,488.17
2025-04-01,19411.25,19644.0,19261.25,19604.5,19604.5,790964,19834.66,19804.52,20876.56,20437.86,20612.41,19804.52,18996.62,42.89,42.33,-316.98,-353.58,36.6,480.64
2025-04-02,19600.5,20044.25,19076.75,19758.0,19758.0,835319,19835.78,19759.17,20837.53,20438.22,20458.18,19759.17,19060.15,46.62,44.72,-297.7,-342.4,44.7,515.41
2025-04-03,19020.0,19177.0,18614.0,18675.5,18675.5,893793,19735.48,19688.48,20771.03,20432.0,20520.26,19688.48,18856.69,30.7,34.02,-365.56,-347.03,-18.52,560.31
2025-04-04,18660.0,18713.0,17387.5,17539.0,17539.0,1199851,19544.3,19553.94,20681.05,20420.09,20789.52,19553.94,18318.36,21.88,26.78,-505.22,-378.67,-126.55,614.97
2025-04-07,17100.0,18361.5,16460.0,17563.25,17563.25,1140389,19263.2,19459.47,20594.09,20409.09,20983.02,19459.47,17935.91,22.41,27.13,-606.95,-424.33,-182.62,706.86
