Date,Open,High,Low,Close,Adj Close,Volume,10MA,20MA,50MA,200MA,BB(Up),BB(Mid),BB(Down),RSI(9),RSI (14),"MACD(12,26,9) (MACD Line)","MACD(12,26,9) (Signal Line)","MACD(12,26,9) (Histogram)",ATR
2024-01-02,17019.0,17038.5,16622.5,16720.0,16720.0,652714,16969.62,16583.07,15884.79,14879.82,17490.56,16583.07,15675.59,50.28,57.26,313.72,327.87,-14.15,211.78
2024-01-03,16736.75,16737.25,16522.0,16538.0,16538.0,677219,16929.45,16616.52,15921.31,14899.06,17460.26,16616.52,15772.79,42.45,51.25,267.27,315.75,-48.48,212.03
2024-01-04,16545.25,16587.25,16436.0,16445.0,16445.0,559464,16871.65,16643.34,15953.28,14916.95,17424.1,16643.34,15862.57,38.96,48.45,220.41,296.68,-76.28,207.69
2024-01-05,16455.0,16577.25,16334.25,16460.25,16460.25,627475,16841.05,16675.59,15992.92,14935.72,17359.63,16675.59,15991.55,39.87,48.94,182.4,273.83,-91.43,210.21
2024-01-08,16470.0,16811.25,16378.25,16803.75,16803.75,549900,16825.78,16713.84,16045.11,14955.47,17330.14,16713.84,16097.53,56.38,58.55,177.94,254.65,-76.71,226.12
2024-01-09,16788.0,16868.5,16657.75,16830.25,16830.25,605921,16810.8,16750.44,16096.41,14975.17,17295.65,16750.44,16205.22,57.39,59.18,174.53,238.63,-64.09,225.03
2024-01-10,16829.5,16983.0,16801.5,16945.25,16945.25,550703,16796.97,16785.85,16146.99,14995.95,17280.29,16785.85,16291.41,61.74,61.92,179.05,226.71,-47.66,221.92
2024-01-11,16955.0,17057.0,16753.0,16966.25,16966.25,756441,16782.28,16816.02,16196.51,15017.12,17274.07,16816.02,16357.98,62.53,62.42,182.22,217.81,-35.59,227.78
2024-01-12,16957.75,17042.5,16866.5,16969.25,16969.25,593445,16770.15,16836.3,16241.0,15037.14,17283.09,16836.3,16389.51,62.65,62.49,182.87,210.83,-27.95,224.08
2024-01-16,16961.75,17033.75,16811.75,16966.5,16966.5,816021,16764.45,16857.55,16280.37,15056.56,17285.32,16857.55,16429.78,62.44,62.37,181.08,204.88,-23.8,223.93
